Field 1,DOI,Paper title,Abstract,PDF Link,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
581,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/abs/10.1098/rspb.2010.2292,"Process resources,Chemically modify or Change energy state","Capture resources,Change energy state","Capture solids,Modify/convert mechanical energy","""Capture, absorb, or filter organisms""",
582,10.1098/rstb.1998.0313,Vertical jumping in Galago senegalensis: the quest for an obligate mechanical power amplifier,"Bushbabies (Galago senegalensis) are renowned for their phenomenal jumping capacity. It was postulated that mechanical power amplification must be involved. Dynamic analysis of the vertical jumps performed by two bushbabies confirms the need for a power amplifier. Inverse dynamics coupled to a geometric musculo–skeletal model were used to elucidate the precise nature of the mechanism powering maximal vertical jumps. Most of the power required for jumping is delivered by the vastus muscle–tendon systems (knee extensor). Comparison with the external joint–powers revealed, however, an important power transport from this extensor (about 65%) to the ankle and the midfoot via the bi–articular calf muscles. Peak power output likely implies elastic recoil of the complex aponeurotic system of the vastus muscle. Patterns of changes in length and tension of the muscle–tendon complex during different phases of the jump were found which provide strong evidence for substantial power amplification (times 15). It is argued here that the multiple internal connective tissue sheets and attachment structures of the well–developed bundles of the vastus muscle become increasingly stretched during preparatory crouching and throughout the extension phase, except for the last 13 ms of the push–off (i.e. when power requirements peak). Then, tension in the knee extensors abruptly falls from its maximum, allowing the necessary fast recoil of the tensed tendon structures to occur.",,"Philosophical Transactions of the Royal Society B,Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior",https://royalsocietypublishing.org/doi/10.1098/rstb.1998.0313,"Process resources,Move,Physically assemble/disassemble","Distribute resources,Store resources,Active movement,Physically assemble structure,Optimize shape/materials,Capture resources","Distribute energy,Store energy,Actively move through/on solids,Actively move through gases,Capture energy","Distribute energy,Store energy,""Capture, absorb, or filter energy""",
583,,,,,"Philosophical Transactions of the Royal Society B,Comparative Biochemistry and Physiology Part A: Molecular & Integrative Physiology,Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior",https://www.sciencedirect.com/science/article/pii/S1095643302001435?via%3Dihub,Process resources,"Distribute resources,Store resources","Distribute energy,Store energy","Distribute energy,Store energy,""Capture, absorb, or filter energy""",
584,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2013.1758,Attach,Attach temporarily,,"Attach temporarily,""Capture, absorb, or filter liquids""",
585,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2011.1169,Process resources,Distribute resources,Distribute liquids,Distribute liquids,
586,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2011.0489,Move,Active movement,Actively move through/on liquids,Move in/on liquids,https://www.sciencemag.org/news/2011/11/how-sharks-go-fast
587,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2011.0069,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage shear,Prevent buckling,Prevent fracture/rupture","Manage shear,Prevent buckling,Prevent fracture/rupture",https://issuu.com/eggermont/docs/zq_issue_01final/51?e=15278665/11091210
588,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2010.2784,Process resources,Distribute resources,Distribute solids,"Distribute solids,""Capture, absorb, or filter chemical entities""",
589,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2010.2292,Process resources,Store resources,Store energy,"Store energy,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter liquids""",
590,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2010.2203,"""Sense, send, or process information""",Send signals,Send light signals in the visible spectrum,Send light signals in the visible spectrum,
591,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2010.0604,"Attach,Physically assemble/disassemble","Attach temporarily,Physically assemble structure",,"Attach temporarily,Modify phase,Physically assemble structure",
592,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2010.0214,Maintain ecological community,Individual benefit,"Compete within/between species,Regulate reproduction or growth","Cooperate/compete between different species,Regulate reproduction or growth",https://www.sciencemag.org/news/2010/07/bacteria-bring-leaves-back-dead
593,10.1098/rspb.2010.0117,Bone density and the lightweight skeletons of birds,"The skeletons of birds are universally described as lightweight as a result of selection for minimizing the energy required for flight. From a functional perspective, the weight (mass) of an animal relative to its lift-generating surfaces is a key determinant of the metabolic cost of flight. The evolution of birds has been characterized by many weight-saving adaptations that are reflected in bone shape, many of which strengthen and stiffen the skeleton. Although largely unstudied in birds, the material properties of bone tissue can also contribute to bone strength and stiffness. In this study, I calculated the density of the cranium, humerus and femur in passerine birds, rodents and bats by measuring bone mass and volume using helium displacement. I found that, on average, these bones are densest in birds, followed closely by bats. As bone density increases, so do bone stiffness and strength. Both of these optimization criteria are used in the design of strong and stiff, but lightweight, manmade airframes. By analogy, increased bone density in birds and bats may reflect adaptations for maximizing bone strength and stiffness while minimizing bone mass and volume. These data suggest that both bone shape and the material properties of bone tissue have played important roles in the evolution of flight. They also reconcile the conundrum of how bird skeletons can appear to be thin and delicate, yet contribute just as much to total body mass as do the skeletons of terrestrial mammals.",,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2010.0117,"Move,Physically assemble/disassemble,Maintain structural integrity,Change size or color","Optimize shape/materials,Physically assemble structure,Active movement,Passive movement,Prevent structural failure,Manage structural forces,Change size/shape","Actively move through gases,Passively move through gases,Prevent deformation,Prevent fracture/rupture,Manage stress/strain","Modify material characteristics,Move in/through gases,Optimize shape/materials,Physically assemble structure",https://www.sciencedaily.com/releases/2010/03/100322112103.htm
594,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2009.2029,"Protect from harm,""Sense, send, or process information""","Protect from living threats,Sense signals/environmental cues","Protect from animals,Sense touch and mechanical forces,Sense chemicals","Protect from animals,Sense touch and mechanical forces in a living system,""Sense chemicals (odor, taste, etc.) from the environment""",https://www.nature.com/news/2010/100113/full/news.2010.8.html
595,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2009.1706,Attach,Attach permanently,,Attach permanently,http://www.nbcnews.com/id/34020654/ns/technology_and_science-science/t/natural-super-glue-found-asparagus-spears/
596,,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,Proceedings of the Royal Society B,Biology Letters",https://royalsocietypublishing.org/doi/10.1098/rspb.2008.1939,"Maintain structural integrity,Protect from harm","Manage structural forces,Protect from living threats,Protect from non-living threats","Manage impact,Protect from animals,Protect from light,Protect from loss of liquids,Protect from temperature","Manage impact,Modify material characteristics,Protect from animals,Protect from light,Protect from loss of liquids,Protect from temperature",http://news.bbc.co.uk/2/hi/science/nature/8481102.stm
597,,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,Proceedings of the Royal Society B,Biology Letters",https://royalsocietypublishing.org/doi/10.1098/rsbl.2009.0934,"Maintain structural integrity,Protect from harm","Manage structural forces,Protect from living threats,Protect from non-living threats","Manage impact,Protect from animals,Protect from light,Protect from loss of liquids,Protect from temperature","Manage impact,Modify material characteristics,Protect from animals,Protect from light,Protect from loss of liquids,Protect from temperature",http://news.bbc.co.uk/2/hi/science/nature/8481102.stm
598,,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,Proceedings of the Royal Society B,Biology Letters",https://royalsocietypublishing.org/doi/10.1098/rspb.2008.1939,"Physically assemble/disassemble,Protect from harm","Physically assemble structure,Protect from living threats,Protect from non-living threats","Protect from animals,Protect from light,Protect from loss of liquids,Protect from microbes","Physically assemble structure,Protect from animals,Protect from light,Protect from loss of liquids,Protect from microbes",http://news.bbc.co.uk/2/hi/science/nature/8481102.stm
599,,,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,Proceedings of the Royal Society B,Biology Letters",https://royalsocietypublishing.org/doi/10.1098/rsbl.2009.0934,"Physically assemble/disassemble,Protect from harm","Physically assemble structure,Protect from living threats,Protect from non-living threats","Protect from animals,Protect from light,Protect from loss of liquids,Protect from microbes","Physically assemble structure,Protect from animals,Protect from light,Protect from loss of liquids,Protect from microbes",http://news.bbc.co.uk/2/hi/science/nature/8481102.stm
600,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2008.1860,"""Sense, send, or process information""",Process signals,"Respond to signals,Sense chemicals","Respond to signals,""Sense chemicals (odor, taste, etc.) from the environment""",
601,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2008.1281,"Process resources,Protect from harm","Expel resources,Protect from living threats","Expel liquids,Protect from animals",Modify surface tension,
602,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2004.2850,Attach,Attach temporarily,,Attach temporarily,https://www.nature.com/articles/431756a
603,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.2002.2210,Maintain ecological community,Individual benefit,Coordinate by self-organization,Coordinate by self-organization,
604,,,,,"Life on Earth: A Natural History,Proceedings of the Royal Society B",https://royalsocietypublishing.org/doi/10.1098/rspb.2000.1153,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage wear,Prevent fatigue","Manage mechanical wear,Prevent fatigue",
605,,,,,"Proceedings of the Royal Society B,Journal of Morphology",https://royalsocietypublishing.org/doi/10.1098/rspb.1999.0668,Attach,Attach temporarily,,Attach temporarily,
606,,,,,"Proceedings of the Royal Society B,Journal of Morphology",https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291097-4687%28199710%29234%3A1%3C1%3A%3AAID-JMOR1%3E3.0.CO%3B2-I,Attach,Attach temporarily,,Attach temporarily,
607,,,,,Proceedings of the Royal Society B,https://royalsocietypublishing.org/doi/10.1098/rspb.1981.0009,Protect from harm,Protect from non-living threats,Protect from loss of liquids,"Protect from loss of liquids,""Capture, absorb, or filter liquids""",
608,,,,,"Royal Society Open Science,ScienceDirect",https://royalsocietypublishing.org/doi/10.1098/rsos.171323,Maintain structural integrity,"Prevent structural failure,Manage structural forces","Prevent deformation,Prevent fracture/rupture,Manage impact","Prevent deformation,Prevent fracture/rupture,Manage impact",
609,,,,,"Advanced Engineering Materials,Royal Society Open Science",https://royalsocietypublishing.org/doi/10.1098/rsos.140322,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage impact,Prevent fracture/rupture","Manage impact,Prevent fracture/rupture",
610,,,,,"Advanced Engineering Materials,Royal Society Open Science",https://onlinelibrary.wiley.com/doi/abs/10.1002/adem.201080065,Maintain structural integrity,"Manage structural forces,Prevent structural failure","Manage impact,Prevent fracture/rupture","Manage impact,Prevent fracture/rupture",
611,,,,,Journal of the Royal Society Interface,https://royalsocietypublishing.org/doi/10.1098/rsif.2014.0273,Attach,Attach temporarily,,Attach temporarily,
612,,,,,Journal of the Royal Society Interface,https://royalsocietypublishing.org/doi/10.1098/rsif.2013.0174,"Process resources,Protect from harm","Capture resources,Protect from living threats","Capture solids,Protect from animals","""Capture, absorb, or filter organisms""",https://news.uci.edu/2013/04/09/bean-leaves-can-trap-bedbugs-researchers-find/
613,,,,,Journal of the Royal Society Interface,https://royalsocietypublishing.org/doi/10.1098/rsif.2012.0429,Protect from harm,Protect from non-living threats,Protect from excess liquids,Protect from excess liquids,
614,,,,,Journal of the Royal Society Interface,https://royalsocietypublishing.org/doi/10.1098/rsif.2011.0059,"Maintain ecological community,""Sense, send, or process information""","Group benefit,Process signals","Coordinate by self-organization,Respond to signals",Coordinate activities,
615,,,,,Journal of the Royal Society Interface,https://royalsocietypublishing.org/doi/10.1098/rsif.2010.0722,Protect from harm,Protect from non-living threats,Protect from excess liquids,Protect from excess liquids,https://www.abc.net.au/science/articles/2011/03/09/3158417.htm
616,,,,,Journal of the Royal Society Interface,https://royalsocietypublishing.org/doi/10.1098/rsif.2010.0140,Attach,Attach permanently,,Attach permanently,http://news.bbc.co.uk/earth/hi/earth_news/newsid_8701000/8701358.stm
617,,,,,Journal of the Royal Society Interface,https://royalsocietypublishing.org/doi/10.1098/rsif.2009.0556,Maintain structural integrity,Manage structural forces,"Manage stress/strain,Manage impact","Manage compression,Manage impact",https://www.sciencedaily.com/releases/2010/02/100224132507.htm
618,,,,,Journal of the Royal Society Interface,https://royalsocietypublishing.org/doi/10.1098/rsif.2009.0308,Attach,Attach temporarily,,Attach temporarily,
619,,,,,"Journal of the Royal Society Interface,Nature",https://royalsocietypublishing.org/doi/10.1098/rsif.2009.0184,Change size or color,Change size/shape,,Modify size/shape/mass/volume,
620,,,,,"Journal of the Royal Society Interface,Nature",https://www.nature.com/articles/37745,Change size or color,Change size/shape,,Modify size/shape/mass/volume,
622,,,,,"Journal of the Royal Society Interface,""Iheringia, Série Zoologia""",https://royalsocietypublishing.org/doi/10.1098/rsif.2008.0457,Move,Passive movement,Passively move through/on liquids,"Move in/on liquids,""Capture, absorb, or filter organisms""",
624,,,,,Journal of the Royal Society Interface,https://royalsocietypublishing.org/doi/10.1098/rsif.2008.0345.focus,Change size or color,Modify color,Change structural color,Modify light/color,
625,,,,,Journal of the Royal Society Interface,https://royalsocietypublishing.org/doi/10.1098/rsif.2007.1338,Process resources,Distribute resources,"Distribute gases,Distribute liquids","Distribute gases,Distribute liquids,Regulate cellular processes",
626,,,,,Biology Letters,https://royalsocietypublishing.org/doi/10.1098/rsbl.2011.0982,"Move,Process resources","Store resources,Active movement","Store energy,Actively move through/on solids","Move in/on solids,Store energy",
627,,,,,Biology Letters,https://royalsocietypublishing.org/doi/10.1098/rsbl.2010.1163,"""Sense, send, or process information"",Change size or color","Send signals,Modify color","Send light signals in the visible spectrum,Change structural color","Modify light/color,Send light signals in the visible spectrum",
628,,,,,Biology Letters,https://royalsocietypublishing.org/doi/10.1098/rsbl.2010.0993,Protect from harm,Protect from non-living threats,Protect from temperature,Protect from temperature,
629,,,,,"Biology Letters,Journal of Fish Biology",https://royalsocietypublishing.org/doi/10.1098/rsbl.2010.0916,Protect from harm,Protect from living threats,Protect from animals,Protect from animals,
630,,,,,"Biology Letters,Journal of Fish Biology",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1095-8649.1999.tb00864.x,Protect from harm,Protect from living threats,Protect from animals,Protect from animals,
631,,,,,"Journal of Biological Chemistry,Biology Letters",https://royalsocietypublishing.org/doi/10.1098/rsbl.2010.0844,Protect from harm,Protect from living threats,Protect from animals,"Protect from animals,""Capture, absorb, or filter chemical entities""",
632,,,,,"Journal of Biological Chemistry,Biology Letters",https://www.jbc.org/content/270/47/28169,Protect from harm,Protect from living threats,Protect from animals,"Protect from animals,""Capture, absorb, or filter chemical entities""",
633,,,,,"Journal of Biological Chemistry,Biology Letters",https://royalsocietypublishing.org/doi/10.1098/rsbl.2011.0081,Protect from harm,Protect from living threats,Protect from animals,"Protect from animals,""Capture, absorb, or filter chemical entities""",
634,,,,,Biology Letters,https://royalsocietypublishing.org/doi/10.1098/rsbl.2010.0716,"Maintain structural integrity,Protect from harm","Manage structural forces,Protect from living threats","Manage wear,Protect from microbes","Manage mechanical wear,Protect from microbes",
635,,,,,Biology Letters,https://royalsocietypublishing.org/doi/10.1098/rsbl.2009.0986,Protect from harm,Protect from living threats,Protect from microbes,"Protect from microbes,Regulate cellular processes",http://news.bbc.co.uk/2/hi/science/nature/8467746.stm
636,,,,,Biology Letters,https://royalsocietypublishing.org/doi/10.1098/rsbl.2005.0322,"""Sense, send, or process information"",Change size or color","Send signals,Modify color","Send light signals in the non-visible spectrum,Change structural color","Modify light/color,Send light signals in the non-visible spectrum",
637,,,,,"Biology Letters,Austral Ecology,Science",https://royalsocietypublishing.org/doi/10.1098/rsbl.2005.0307,"Protect from harm,""Sense, send, or process information"",Physically assemble/disassemble","Protect from living threats,Send signals,Physically assemble structure","Protect from animals,Send light signals in the visible spectrum,Send light signals in the non-visible spectrum","Protect from animals,Send light signals in the visible spectrum,Send light signals in the non-visible spectrum,Physically assemble structure",
638,,,,,"Biology Letters,Austral Ecology,Science",https://onlinelibrary.wiley.com/doi/abs/10.1046/j.1442-9993.2003.t01-1-01319.x,"Protect from harm,""Sense, send, or process information"",Physically assemble/disassemble","Protect from living threats,Send signals,Physically assemble structure","Protect from animals,Send light signals in the visible spectrum,Send light signals in the non-visible spectrum","Protect from animals,Send light signals in the visible spectrum,Send light signals in the non-visible spectrum,Physically assemble structure",
639,,,,,"Biology Letters,Austral Ecology,Science",https://science.sciencemag.org/content/219/4581/185,"Protect from harm,""Sense, send, or process information"",Physically assemble/disassemble","Protect from living threats,Send signals,Physically assemble structure","Protect from animals,Send light signals in the visible spectrum,Send light signals in the non-visible spectrum","Protect from animals,Send light signals in the visible spectrum,Send light signals in the non-visible spectrum,Physically assemble structure",
640,,,,,"Biology Letters,Proceedings of the Royal Society B",https://royalsocietypublishing.org/doi/10.1098/rsbl.2004.0289,"""Sense, send, or process information"",Change size or color","Send signals,Modify color","Send light signals in the visible spectrum,Change chemical color/pigmentation,Change structural color","Modify light/color,Send light signals in the visible spectrum",
641,,,,,"Biology Letters,Proceedings of the Royal Society B",https://royalsocietypublishing.org/doi/10.1098/rspb.2006.3675,"""Sense, send, or process information"",Change size or color","Send signals,Modify color","Send light signals in the visible spectrum,Change structural color,Change chemical color/pigmentation","Modify light/color,Send light signals in the visible spectrum",
642,,,,,Biology Letters,https://royalsocietypublishing.org/doi/10.1098/rsbl.2004.0269,"""Sense, send, or process information"",Change size or color","Send signals,Modify color","Send light signals in the visible spectrum,Change chemical color/pigmentation","Modify light/color,Send light signals in the visible spectrum",
643,,,,,Physiological and Biochemical Zoology,https://ro.uow.edu.au/scipapers/450/,Protect from harm,Protect from non-living threats,Protect from temperature,"Maintain homeostasis,Protect from temperature",
644,,,,,Journal of Cetacean Research and Management.,https://repository.si.edu/bitstream/handle/10088/7475/da1.pdf,Protect from harm,Protect from non-living threats,Protect from temperature,Protect from temperature,
645,,,,,Plants and Heavy Metals,https://rd.springer.com/chapter/10.1007/978-94-007-4441-7_2,Protect from harm,Protect from non-living threats,"Protect from chemicals,Protect from solids","Protect from chemicals,Protect from dirt/solids,Regulate cellular processes",
646,,,,,"Energy & Environmental Science,Nature",https://pubs.rsc.org/en/content/articlelanding/2011/EE/c1ee01753e#!divAbstract,"Chemically modify or Change energy state,Process resources","Change energy state,Capture resources,Distribute resources","Modify/convert electrical energy,Capture energy,Distribute energy","Chemically generate flow of electrons (redox),Modify conductivity,Modify electron transport,Modify oxidation state",
647,,,,,"Energy & Environmental Science,Nature",https://www.nature.com/articles/nature03661,"Chemically modify or Change energy state,Process resources","Change energy state,Capture resources,Distribute resources","Modify/convert electrical energy,Capture energy,Distribute energy","Chemically generate flow of electrons (redox),Modify conductivity,Modify electron transport,Modify oxidation state",
648,,,,,Energy & Environmental Science,https://pubs.rsc.org/en/content/articlelanding/2011/EE/c0ee00578a#!divAbstract,"Process resources,Chemically modify or Change energy state","Capture resources,Change energy state","Capture energy,Modify/convert light energy","Modify energy state,""Capture, absorb, or filter energy""",
649,,,,,Soft Matter,https://pubs.rsc.org/en/content/articlelanding/2010/sm/b912163n#!divAbstract,"Maintain structural integrity,Chemically modify or Change energy state","Manage structural forces,Chemically assemble","Chemically assemble organic compounds,Self-assemble,Manage stress/strain","Chemically assemble polymers,Modify material characteristics,Regulate cellular processes",
650,,,,,Soft Matter,https://pubs.rsc.org/en/content/articlelanding/2009/SM/b902775k#!divAbstract,"Physically assemble/disassemble,Change size or color","Physically assemble structure,Modify color",Change structural color,"Modify light/color,Physically assemble structure",
651,,,,,Chemical Society Reviews,https://pubs.rsc.org/en/content/articlelanding/2008/CS/b703021p#!divAbstract,Maintain ecological community,Individual benefit,Coordinate by self-organization,Coordinate by self-organization,
652,,,,,Chemical Society Reviews,https://pubs.acs.org/doi/10.1021/jo101237e,Maintain ecological community,Individual benefit,Coordinate by self-organization,Coordinate by self-organization,
654,,,,,"Life on Earth: A Natural History,Journal of Herpetology,Nature,Zoomorphology,Molecular BioSystems",https://www.jstor.org/stable/1565146?origin=crossref&seq=1,Process resources,Capture resources,Capture liquids,"""Capture, absorb, or filter liquids""",
655,,,,,"Life on Earth: A Natural History,Journal of Herpetology,Nature,Zoomorphology,Molecular BioSystems",https://www.jstor.org/stable/1565147?origin=crossref&seq=1,Process resources,Capture resources,Capture liquids,"""Capture, absorb, or filter liquids""",
656,,,,,"Life on Earth: A Natural History,Journal of Herpetology,Nature,Zoomorphology,Molecular BioSystems",https://www.nature.com/articles/194699a0,Process resources,Capture resources,Capture liquids,"""Capture, absorb, or filter liquids""",
657,,,,,"Life on Earth: A Natural History,Journal of Herpetology,Nature,Zoomorphology,Molecular BioSystems",https://link.springer.com/article/10.1007%2Fs00435-007-0031-7,Process resources,Capture resources,Capture liquids,"""Capture, absorb, or filter liquids""",
658,,,,,Molecular BioSystems,https://pubs.rsc.org/en/content/articlelanding/2005/mb/b505796p#!divAbstract,Protect from harm,Protect from living threats,Protect from microbes,Protect from microbes,
659,,,,,"Molecular BioSystems,Current Opinion in Plant Biology",https://pubs.rsc.org/en/content/articlelanding/2005/mb/b505796p/#!divAbstract,Protect from harm,Protect from living threats,Protect from microbes,Protect from microbes,
660,,,,,"Molecular BioSystems,Current Opinion in Plant Biology",https://www.sciencedirect.com/science/article/pii/S1369526604000743?via%3Dihub,Protect from harm,Protect from living threats,Protect from microbes,Protect from microbes,
661,,,,,"Natural Product Reports,Phytoparasitica",https://pubs.rsc.org/en/content/articlelanding/1991/NP/np9910800309#!divAbstract,Protect from harm,Protect from living threats,"Protect from animals,Send chemical signals","Protect from animals,Regulate cellular processes,""Send chemical signals (odor, taste, etc.)""",
662,,,,,"Natural Product Reports,Phytoparasitica",https://link.springer.com/article/10.1007/s12600-010-0087-7,Protect from harm,Protect from living threats,"Protect from animals,Send chemical signals","Protect from animals,Regulate cellular processes,""Send chemical signals (odor, taste, etc.)""",
663,,,,,"Biomacromolecules,Science",https://pubs.acs.org/doi/full/10.1021/bm049899t,"Attach,Chemically modify or Change energy state","Attach permanently,Chemically assemble",Chemically assemble organic compounds,Modify material characteristics,
665,,,,,Journal of Proteome Research,https://pubs.acs.org/doi/abs/10.1021/pr101285n,Protect from harm,Protect from living threats,"Protect from fungi,Protect from microbes","Protect from fungi,Protect from microbes",
666,,,,,Biochemistry,https://pubs.acs.org/doi/abs/10.1021/bi00505a018,"Protect from harm,""Sense, send, or process information"",Chemically modify or Change energy state","Protect from living threats,Send signals,Change energy state","Protect from animals,Send light signals in the visible spectrum,Modify/convert light energy","Protect from animals,Send light signals in the visible spectrum,Transform radiant energy (light)",https://www.scientificamerican.com/slideshow/bioluminescent-avatar/
667,,,,,Accounts of Chemical Research,https://pubs.acs.org/doi/abs/10.1021/ar00072a003,Chemically modify or Change energy state,"Change energy state,Chemically break down","Modify/convert chemical energy,Modify/convert electrical energy,Modify/convert light energy,Chemically break down organic compounds","Catalyze chemical breakdown,Transform chemical energy,Transform electrical energy,Transform radiant energy (light)",https://www.sciencedaily.com/releases/2007/03/070327144459.htm
668,,,,,"Chemical Reviews,Carbohydrate Polymers",https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.7b00627,Maintain structural integrity,Manage structural forces,Manage stress/strain,"Manage compression,Manage tension",
669,,,,,"Chemical Reviews,Carbohydrate Polymers",https://www.sciencedirect.com/science/article/abs/pii/S0144861719304527,Maintain structural integrity,Manage structural forces,Manage stress/strain,"Manage compression,Manage tension",
670,,,,,"Chemical Reviews,Carbohydrate Polymers",https://drive.google.com/viewerng/viewer?url=https://www.fpl.fs.fed.us/documnts/fplgtr/fplgtr190/chapter_03.pdf,Maintain structural integrity,Manage structural forces,Manage stress/strain,"Manage compression,Manage tension",
671,,,,,Journal of Natural Products,https://pubs.acs.org/doi/10.1021/np900630w,"Maintain ecological community,""Sense, send, or process information""","Individual benefit,Process signals","Regulate reproduction or growth,Respond to signals","Regulate reproduction or growth,Respond to signals",
672,,,,,ACS Nano,https://pubs.acs.org/doi/10.1021/nn200107u,Maintain structural integrity,Manage structural forces,"Manage impact,Manage wear,Manage shear,Manage stress/strain","Manage impact,Manage mechanical wear,Manage shear,Manage tension",
673,,,,,"Insects of the World,Langmuir",https://pubs.acs.org/doi/10.1021/la903813g,Protect from harm,Protect from non-living threats,Protect from excess liquids,"Modify buoyancy,Modify surface tension,Protect from excess liquids",https://naturesraincoats.com/
674,,,,,Langmuir,https://pubs.acs.org/doi/10.1021/la203942r,"Maintain structural integrity,Protect from harm","Manage structural forces,Protect from non-living threats","Manage wear,Protect from solids","Manage mechanical wear,Protect from dirt/solids",
675,,,,,"Langmuir,Journal of Morphology",https://pubs.acs.org/doi/10.1021/la203853r,Maintain structural integrity,Manage structural forces,Manage shear,Manage shear,
676,,,,,"Langmuir,Journal of Morphology",https://pubmed.ncbi.nlm.nih.gov/29852724/,Maintain structural integrity,Manage structural forces,Manage shear,Manage shear,
679,,,,,Journal of Agricultural and Food Chemistry,https://pubs.acs.org/doi/10.1021/jf200486t,Protect from harm,Protect from living threats,"Protect from fungi,Protect from microbes","Protect from fungi,Protect from microbes",
680,,,,,"Journal of the American Chemical Society,PNAS",https://pubs.acs.org/doi/10.1021/ja907063z,Chemically modify or Change energy state,Chemically assemble,Chemically assemble organic compounds,Chemically assemble mineral crystals,"https://news.wisc.edu/dental-delight-tooth-of-sea-urchin-shows-formation-of-biominerals/
https://news.wisc.edu/sea-urchin-yields-a-key-secret-of-biomineralization/
"
681,,,,,"Journal of the American Chemical Society,PNAS",https://www.pnas.org/content/105/45/17362,Chemically modify or Change energy state,Chemically assemble,Chemically assemble organic compounds,Chemically assemble mineral crystals,"https://news.wisc.edu/dental-delight-tooth-of-sea-urchin-shows-formation-of-biominerals/
https://news.wisc.edu/sea-urchin-yields-a-key-secret-of-biomineralization/
"
683,,,,,Journal of the American Chemical Society,https://pubs.acs.org/doi/10.1021/ja104996y,"Attach,Maintain ecological community,Process resources","Attach permanently,Individual benefit,Detox/purify",Coordinate by self-organization,"Attach permanently,Coordinate by self-organization,Detoxification/purification of air/water/waste",https://www.eurekalert.org/pub_releases/2010-08/nsf-ctg082510.php
686,,,,,Biomacromolecules,https://pubs.acs.org/doi/10.1021/bm900681w,Attach,Attach permanently,,"Attach permanently,""Capture, absorb, or filter organisms""",https://www.eurekalert.org/pub_releases/2009-10/acs-swg102109.php
687,,,,,"Biomacromolecules,Journal of Herpetology",https://pubs.acs.org/doi/10.1021/bm050335e,"Attach,Protect from harm","Attach permanently,Protect from living threats",Protect from animals,"Attach permanently,Protect from animals,""Capture, absorb, or filter organisms""",
688,,,,,"Biomacromolecules,Journal of Herpetology",https://www.jstor.org/stable/1565367?origin=crossref&seq=1,"Attach,Protect from harm","Attach permanently,Protect from living threats",Protect from animals,"Attach permanently,Protect from animals,""Capture, absorb, or filter organisms""",
689,,,,,Naturwissenschaften,https://pubmed.ncbi.nlm.nih.gov/22057952/,Attach,Attach temporarily,Chemically assemble organic compounds,"Attach temporarily,Chemically assemble organic compounds",
690,,,,,"For the Love of Insects,Integrative and Comparative Biology",https://pubmed.ncbi.nlm.nih.gov/21680397/,Attach,"Attach permanently,Attach temporarily",,"Attach permanently,Attach temporarily",
691,,,,,"American Journal of Botany,Botanical Review",https://pubmed.ncbi.nlm.nih.gov/21636505/,Move,Passive movement,Passively move through gases,"Disperse seeds,Move in/through gases,Pollinate",
692,,,,,"American Journal of Botany,Botanical Review",https://link.springer.com/article/10.1007/BF02861079,Move,Passive movement,Passively move through gases,"Disperse seeds,Move in/through gases,Pollinate",
