,index,DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
446,446,,,,Energy & Environmental Science,https://pubs.rsc.org/en/content/articlelanding/2011/EE/c0ee00578a#!divAbstract,,,"""Capture, absorb, or filter energy""","Modify energy state,""Capture, absorb, or filter energy""",
447,447,,,,Soft Matter,https://pubs.rsc.org/en/content/articlelanding/2010/sm/b912163n#!divAbstract,,,,"Chemically assemble polymers,Modify material characteristics,Regulate cellular processes",
448,448,,,,Soft Matter,https://pubs.rsc.org/en/content/articlelanding/2009/SM/b902775k#!divAbstract,,,"Modify color,Physically assemble structure","Modify light/color,Physically assemble structure",
449,449,,,,Chemical Society Reviews,"https://pubs.rsc.org/en/content/articlelanding/2008/CS/b703021p#!divAbstract
https://pubs.acs.org/doi/10.1021/jo101237e",,,Coordinate by self-organization,Coordinate by self-organization,
450,450,,,,"Life on Earth: A Natural History,Journal of Herpetology,Nature,Zoomorphology,Molecular BioSystems","https://pubs.rsc.org/en/content/articlelanding/2007/MB/b618473c#!divAbstract
https://www.jstor.org/stable/1565146?origin=crossref&seq=1
https://www.jstor.org/stable/1565147?origin=crossref&seq=1
https://www.nature.com/articles/194699a0
https://link.springer.com/article/10.1007%2Fs00435-007-0031-7
",,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
451,451,,,,Molecular BioSystems,https://pubs.rsc.org/en/content/articlelanding/2005/mb/b505796p#!divAbstract,,,Protect from microbes,Protect from microbes,
452,452,,,,"Molecular BioSystems,Current Opinion in Plant Biology","https://pubs.rsc.org/en/content/articlelanding/2005/mb/b505796p/#!divAbstract
https://www.sciencedirect.com/science/article/pii/S1369526604000743?via%3Dihub",,,Protect from microbes,Protect from microbes,
453,453,,,,"Natural Product Reports,Phytoparasitica","https://pubs.rsc.org/en/content/articlelanding/1991/NP/np9910800309#!divAbstract
https://link.springer.com/article/10.1007/s12600-010-0087-7",,,"Protect from animals,Send chemical signals","Protect from animals,Regulate cellular processes,""Send chemical signals (odor, taste, etc.)""",
454,454,,,,"Biomacromolecules,Science","https://pubs.acs.org/doi/full/10.1021/bm049899t
https://science.sciencemag.org/content/318/5849/426",,,,Modify material characteristics,
455,455,,,,Journal of Proteome Research,https://pubs.acs.org/doi/abs/10.1021/pr101285n,,,"Protect from fungi,Protect from microbes","Protect from fungi,Protect from microbes",
456,456,,,,Biochemistry,https://pubs.acs.org/doi/abs/10.1021/bi00505a018,,,"Protect from animals,Send light signals in the visible spectrum,Modify/convert light energy","Protect from animals,Send light signals in the visible spectrum,Transform radiant energy (light)",https://www.scientificamerican.com/slideshow/bioluminescent-avatar/
457,457,,,,Accounts of Chemical Research,https://pubs.acs.org/doi/abs/10.1021/ar00072a003,,,"Catalyze chemical breakdown,Modify/convert chemical energy,Modify/convert electrical energy,Modify/convert light energy","Catalyze chemical breakdown,Transform chemical energy,Transform electrical energy,Transform radiant energy (light)",https://www.sciencedaily.com/releases/2007/03/070327144459.htm
458,458,,,,"Chemical Reviews,Carbohydrate Polymers","https://pubs.acs.org/doi/abs/10.1021/acs.chemrev.7b00627
https://www.sciencedirect.com/science/article/abs/pii/S0144861719304527
https://drive.google.com/viewerng/viewer?url=https://www.fpl.fs.fed.us/documnts/fplgtr/fplgtr190/chapter_03.pdf",,,Manage stress/strain,"Manage compression,Manage tension",
459,459,,,,Journal of Natural Products,https://pubs.acs.org/doi/10.1021/np900630w,,,"Regulate reproduction or growth,Respond to signals","Regulate reproduction or growth,Respond to signals",
460,460,,,,ACS Nano,https://pubs.acs.org/doi/10.1021/nn200107u,,,"Manage impact,Manage wear,Manage shear","Manage impact,Manage mechanical wear,Manage shear,Manage tension",
461,461,,,,"Insects of the World,Langmuir",https://pubs.acs.org/doi/10.1021/la903813g,,,Protect from excess liquids,"Modify buoyancy,Modify surface tension,Protect from excess liquids",https://naturesraincoats.com/
462,462,,,,Langmuir,https://pubs.acs.org/doi/10.1021/la203942r,,,"Manage wear,Protect from solids","Manage mechanical wear,Protect from dirt/solids",
463,463,,,,"Courtesy of the Biomimicry Guild,Langmuir,Journal of Morphology","https://pubs.acs.org/doi/10.1021/la203853r
https://pubmed.ncbi.nlm.nih.gov/29852724/",,,Manage shear,Manage shear,
464,464,,,,"Langmuir,Revista de Microbiologia","https://pubs.acs.org/doi/10.1021/la201661y
https://www.scielo.br/scielo.php?script=sci_arttext&pid=S0001-37141999000100001",,,,"Modify phase,""Modify solubility (dissolving, emulsifying, precipitating, crystallizing)""",
465,465,,,,Journal of Agricultural and Food Chemistry,https://pubs.acs.org/doi/10.1021/jf200486t,,,"Protect from fungi,Protect from microbes","Protect from fungi,Protect from microbes",
466,466,,,,"Journal of the American Chemical Society,PNAS","https://pubs.acs.org/doi/10.1021/ja907063z
https://www.pnas.org/content/105/45/17362
",,,,Chemically assemble mineral crystals,"https://news.wisc.edu/dental-delight-tooth-of-sea-urchin-shows-formation-of-biominerals/
https://news.wisc.edu/sea-urchin-yields-a-key-secret-of-biomineralization/
"
467,467,,,,Journal of the American Chemical Society,https://pubs.acs.org/doi/10.1021/ja0692480,,,Sense chemicals,"""Sense chemicals (odor, taste, etc.) from the environment""",
468,468,,,,Journal of the American Chemical Society,https://pubs.acs.org/doi/10.1021/ja104996y,,,"Attach permanently,Coordinate by self-organization,Detox/purify","Attach permanently,Coordinate by self-organization,Detoxification/purification of air/water/waste",https://www.eurekalert.org/pub_releases/2010-08/nsf-ctg082510.php
469,469,,,,"Environmental Science & Technology,Environmental Microbiology","https://pubs.acs.org/doi/10.1021/es061333k
https://sfamjournals.onlinelibrary.wiley.com/doi/full/10.1111/j.1462-2920.2007.01400.x",,,,"Chemically generate flow of electrons (redox),Modify oxidation state",
470,470,,,,Biomacromolecules,https://pubs.acs.org/doi/10.1021/bm900681w,,,"Attach permanently,""Capture, absorb, or filter organisms""","Attach permanently,""Capture, absorb, or filter organisms""",https://www.eurekalert.org/pub_releases/2009-10/acs-swg102109.php
471,471,,,,"Courtesy of the Biomimicry Guild,Biomacromolecules,Journal of Herpetology","https://pubs.acs.org/doi/10.1021/bm050335e
https://www.jstor.org/stable/1565367?origin=crossref&seq=1",,,"Attach permanently,Protect from animals,""Capture, absorb, or filter organisms""","Attach permanently,Protect from animals,""Capture, absorb, or filter organisms""",
472,472,,,,Naturwissenschaften,https://pubmed.ncbi.nlm.nih.gov/22057952/,,,"Attach temporarily,Chemically assemble organic compounds","Attach temporarily,Chemically assemble organic compounds",
473,473,,,,"For the Love of Insects,Integrative and Comparative Biology",https://pubmed.ncbi.nlm.nih.gov/21680397/,,,"Attach permanently,Attach temporarily","Attach permanently,Attach temporarily",
474,474,,,,"American Journal of Botany,Botanical Review","https://pubmed.ncbi.nlm.nih.gov/21636505/
https://link.springer.com/article/10.1007/BF02861079",,,Move through gases,"Disperse seeds,Move in/through gases,Pollinate",
475,475,,,,Phytochemistry,https://pubmed.ncbi.nlm.nih.gov/20655556/,,,"Protect from animals,Protect from fungi,Protect from microbes","Protect from animals,Protect from fungi,Protect from microbes",
476,476,,,,Biological Bulletin,https://pubmed.ncbi.nlm.nih.gov/20570851/,,,"Self-assemble,Protect from animals","Chemically assemble on demand,Protect from animals",
477,477,,,,Journal of Structural Biology,https://pubmed.ncbi.nlm.nih.gov/20433929/,,,"Prevent deformation,Prevent fracture/rupture,Protect from animals","Prevent deformation,Prevent fracture/rupture,Protect from animals",
478,478,,,,New Phytologist,https://pubmed.ncbi.nlm.nih.gov/20298484/,,,Protect from animals,"Cooperate within an ecosystem,Protect from animals",https://www.sciencedaily.com/releases/2010/03/100309202931.htm
479,479,,,,Chemical Communications,https://pubmed.ncbi.nlm.nih.gov/20024205/,,,Physically assemble structure,"Physically assemble structure,Regulate cellular processes",https://www.abc.net.au/science/articles/2009/12/01/2758262.htm
480,480,,,,"For the Love of Insects,Medical and Veterinary Entomology",https://pubmed.ncbi.nlm.nih.gov/19712151/,,,"Protect from animals,Send chemical signals","Protect from animals,""Send chemical signals (odor, taste, etc.)""",
481,481,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Science,Journal of Orthoptera Research","https://pubmed.ncbi.nlm.nih.gov/19179529/
https://bioone.org/journals/Journal-of-Orthoptera-Research/volume-14/issue-2/1082-6467(2005)14[223:DLGACK]2.0.CO;2/Desert-locust-gregarization-a-conceptual-kinetic-model/10.1665/1082-6467(2005)14[223:DLGACK]2.0.CO;2.full",,,"Coordinate activities,Coordinate by self-organization,Sense touch and mechanical forces","Coordinate activities,Coordinate by self-organization,Sense touch and mechanical forces in a living system",
482,482,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Molecular Biology and Evolution",https://pubmed.ncbi.nlm.nih.gov/17703050/,,,Attach permanently,Attach permanently,
483,483,,,,Plant and Cell Physiology,https://pubmed.ncbi.nlm.nih.gov/17504814/,,,,Modify position,
484,484,,,,Photosynthesis Research,https://pubmed.ncbi.nlm.nih.gov/17497225/,,,"""Capture, absorb, or filter chemical entities"",""Capture, absorb, or filter gases""","""Capture, absorb, or filter chemical entities"",""Capture, absorb, or filter gases""",
485,485,,,,Current Opinion in Biotechnology,https://pubmed.ncbi.nlm.nih.gov/17493798/,,,Chemically break down organic compounds,Chemically break down organic compounds,
486,486,,,,"Current Issues in Molecular Biology,Journal of Polymers and the Environment","https://pubmed.ncbi.nlm.nih.gov/17263145/
https://link.springer.com/article/10.1023%2FA%3A1021013921916",,,,Chemically assemble polymers,
487,487,,,,The Journal of Biochemistry,https://pubmed.ncbi.nlm.nih.gov/16963787/,,,Send light signals in the visible spectrum,Send light signals in the visible spectrum,
488,488,,,,Microbial Ecology,https://pubmed.ncbi.nlm.nih.gov/16944346/,,,Chemically break down organic compounds,Chemically break down organic compounds,
489,489,,,,"""Infection, Genetics and Evolution"",Biophysical Journal","https://pubmed.ncbi.nlm.nih.gov/16807133/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1301312/",,,,Modify phase,
490,490,,,,Physical Review E,https://pubmed.ncbi.nlm.nih.gov/16711845/,,,"Send light signals in the visible spectrum,Modify/convert light energy","Send light signals in the visible spectrum,Transform radiant energy (light)",
491,491,,,,Plant Physiology,https://pubmed.ncbi.nlm.nih.gov/16461386/,,,"Send light signals in the non-visible spectrum,Modify/convert thermal energy","Send light signals in the non-visible spectrum,Transform thermal energy",
492,492,,,,Annals of Botany,https://pubmed.ncbi.nlm.nih.gov/16287905/,,,Distribute solids,"Disperse seeds,Distribute solids",
493,493,,,,Physical Review E,https://pubmed.ncbi.nlm.nih.gov/15697629/,,,Protect from light,Protect from light,https://www.newscientist.com/article/mg19626285-100-slap-on-the-edelweiss-for-the-ultimate-sunscreen/
494,494,,,,Journal of Comparative Physiology B,https://pubmed.ncbi.nlm.nih.gov/15578188/,,,"Expel gases,Protect from chemicals","Cycle nutrients,Expel gases,Maintain homeostasis,Modify phase,Protect from chemicals",
495,495,,,,"How Life Learned to Live: Adaptation in Nature,Naturwissenschaften",https://pubmed.ncbi.nlm.nih.gov/15257392/,,,"Physically assemble structure,Sense shape and/or pattern","Physically assemble structure,Sense shape and pattern in a living system",
496,496,,,,Journal of Morphology,https://pubmed.ncbi.nlm.nih.gov/15164371/,,,"Move through/on liquids,Store energy","Move in/on liquids,Store energy",
497,497,,,,Naturwissenschaften,https://pubmed.ncbi.nlm.nih.gov/14740100/,,,"Optimize shape/materials,Sense light in the visible spectrum","Optimize shape/materials,Sense light (visible spectrum) from the environment",
498,498,,,,Science,https://pubmed.ncbi.nlm.nih.gov/14716016/,,,Modify color,Modify light/color,https://issuu.com/eggermont/docs/zq_issue_04_final/10?e=15278665/11095718
499,499,,,,Rapid Commun Mass Spectrom.,https://pubmed.ncbi.nlm.nih.gov/12717761/,,,"Protect from light,Protect from loss of liquids","Protect from light,Protect from loss of liquids",
500,500,,,,Plant Physiology,https://pubmed.ncbi.nlm.nih.gov/12231662/,,,Protect from temperature,"Modify material characteristics,Protect from temperature",https://www.newscientist.com/article/mg13818692-400-science-how-plants-prepare-for-the-cold-of-night/
501,501,,,,Science,https://pubmed.ncbi.nlm.nih.gov/11935026/,,,Send chemical signals,"""Send chemical signals (odor, taste, etc.)""",
502,502,,,,Biosensors and Bioelectronics,https://pubmed.ncbi.nlm.nih.gov/11849930/,,,"Modify color,Protect from animals,Protect from light,Protect from temperature,Sense chemicals","Modify light/color,Protect from animals,Protect from light,Protect from temperature,""Sense chemicals (odor, taste, etc.) from the environment""",https://www.newscientist.com/article/mg17323323-900-amphibian-detectives/
503,503,,,,"Journal of Investigative Dermatology,The grand design: Form and colour in animals",https://pubmed.ncbi.nlm.nih.gov/11676819/,,,Physically assemble structure,Physically assemble structure,
504,504,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Botany",https://pubmed.ncbi.nlm.nih.gov/11141182/,,,Protect from wind,Protect from wind,
505,505,,,,"Planta,Environmental Pollution and Plant Responses",https://pubmed.ncbi.nlm.nih.gov/10750904/,,,"Expel gases,""Capture, absorb, or filter chemical entities""","Expel gases,""Capture, absorb, or filter chemical entities""",
506,506,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://pubmed.ncbi.nlm.nih.gov/9787125/,,,Prevent buckling,Prevent buckling,
507,507,,,,"The Hidden Powers of Animals: Uncovering the Secrets of Nature,Journal of Experimental Biology (JEB)",https://pubmed.ncbi.nlm.nih.gov/9547323/,,,"Sense light in the non-visible spectrum,Sense light in the visible spectrum,Sense shape and/or pattern,Convert signals","Sense light (non-visible spectrum) from the environment,Sense light (visible spectrum) from the environment,Sense shape and pattern in a living system,Transduce/convert signals",
508,508,,,,Journal of Biological Chemistry,"https://pubmed.ncbi.nlm.nih.gov/8567639/
https://www.jbc.org/content/274/16/10706",,,,Modify pH,
509,509,,,,"Comparative Biomechanics: Life's Physical World,Journal of Experimental Biology (JEB)",https://pubmed.ncbi.nlm.nih.gov/1159370/,,,"Store energy,Modify/convert mechanical energy","Store energy,Transform mechanical energy",
510,510,,,,"Plant Physiology and Biochemistry,Trends in Biotechnology","https://pubag.nal.usda.gov/catalog/49409
https://www.cell.com/trends/biotechnology/fulltext/S0167-7799(02)01953-4?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0167779902019534%3Fshowall%3Dtrue",,,,"Chemically assemble polymers,Manage tension",
511,511,,,,"Biochemical Journal,Journal of Experimental Biology (JEB)","https://portlandpress.com/biochemj/article/356/2/503/39283/Novel-barnacle-underwater-adhesive-protein-is-a
https://jeb.biologists.org/content/212/21/3499
",,,Attach permanently,"Attach permanently,Chemically assemble polymers,Modify material characteristics","https://jeb.biologists.org/content/212/21/i.1
https://blogs.scientificamerican.com/observations/scabby-knaves-barnacles-bind-to-ships-using-clotlike-glue/"
512,512,,,,Chemie Ingenieur Technik,https://onlinelibrary.wiley.com/doi/pdf/10.1002/cite.200650118,,,Prevent buckling,"Modify pressure,Prevent buckling",
513,513,,,,Insect Biochemistry and Physiology,https://onlinelibrary.wiley.com/doi/pdf/10.1002/arch.20267,,,Attach temporarily,Attach temporarily,
514,514,,,,"""Plant, Cell & Environment"",Nature","https://onlinelibrary.wiley.com/doi/full/10.1111/pce.12401
https://www.nature.com/articles/461047a",,,Sense touch and mechanical forces,"Modify pressure,Sense touch and mechanical forces in a living system",
515,515,,,,Molecular Microbiology,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2958.2009.06997.x,,,"""Capture, absorb, or filter chemical entities"",Sense chemicals","Maintain homeostasis,Regulate cellular processes,""Capture, absorb, or filter chemical entities"",""Sense chemicals (odor, taste, etc.) from the environment""",
516,516,,,,Medical and Veterinary Entomology,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-2915.2007.00682.x,,,Protect from microbes,Protect from microbes,
517,517,,,,The Plant Journal,https://onlinelibrary.wiley.com/doi/full/10.1111/j.1365-313X.2011.04598.x,,,"Respond to signals,Sense light in the non-visible spectrum,Sense light in the visible spectrum,Convert signals","Adapt phenotype,Respond to signals,Sense light (non-visible spectrum) from the environment,Sense light (visible spectrum) from the environment,Transduce/convert signals",
518,518,,,,"""Plant, Cell & Environment""",https://onlinelibrary.wiley.com/doi/full/10.1046/j.1365-3040.1998.00336.x,,,Sense light in the visible spectrum,Sense light (visible spectrum) from the environment,
519,519,,,,Yeast,https://onlinelibrary.wiley.com/doi/full/10.1002/yea.1148,,,Protect from light,Protect from light,
520,520,,,,Marine Mammal Science,"https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1748-7692.1998.tb00716.x
https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1748-7692.1998.tb00717.x",,,"Distribute solids,""Capture, absorb, or filter solids""","Distribute solids,""Capture, absorb, or filter solids""",
521,521,,,,Scandinavian Journal of Medicine & Science in Sports,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1600-0838.2005.00467.x,,,"Attach permanently,Manage shear,Move through/on liquids,Move through/on solids,Move through gases,Physically assemble structure","Attach permanently,Manage shear,Manage tension,Move in/on liquids,Move in/on solids,Move in/through gases,Physically assemble structure",
522,522,,,,Entomologia Experimentalis et Applicata,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1570-7458.2012.01314.x,,,Protect from fungi,Protect from fungi,
523,523,,,,"Journal of Forensic Sciences,Proceedings of the Royal Society A","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1556-4029.2011.01773.x
https://royalsocietypublishing.org/doi/10.1098/rspa.2007.1844",,,Sense chemicals,"""Sense chemicals (odor, taste, etc.) from the environment""",https://www.newscientist.com/article/dn11715-mucus-substitute-helps-artificial-nose-scent-success/
524,524,,,,Journal of Phycology,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1529-8817.2010.00829.x,,,"Attach temporarily,Control erosion","Attach temporarily,Chemically assemble polymers,Control erosion and sediment,Cycle nutrients",
525,525,,,,Entomological Science,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1479-8298.2006.00158.x,,,"Attach permanently,Change size/shape,Physically assemble structure","Attach permanently,Modify size/shape/mass/volume,Physically assemble structure",
526,526,,,,"Comparative Biomechanics: Life's Physical World,Ibis,The Auk","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1474-919X.1997.tb04663.x
https://bioone.org/journals/the-auk/volume-124/issue-4/0004-8038(2007)124%5b1244%3aSPFAOS%5d2.0.CO%3b2/SMALL-PREY-PROFITABILITY--FIELD-ANALYSIS-OF-SHOREBIRDS-USE-OF/10.1642/0004-8038(2007)124[1244:SPFAOS]2.0.CO;2.short",,,"Distribute liquids,""Capture, absorb, or filter organisms""","Distribute liquids,""Capture, absorb, or filter organisms""",http://soft-matter.seas.harvard.edu/index.php/Surface_Tension_Transport_of_Prey_by_Feeding_Shorebirds:_The_Capillary_Ratchet
527,527,,,,"Comparative Biomechanics: Life's Physical World,Biological Reviews",https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1469-185X.2009.00110.x,,,Move through/on liquids,Move in/on liquids,
528,528,,,,Ecology Letters,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1461-0248.2010.01537.x,,,"Protect from microbes,Respond to signals,Sense disease","Protect from microbes,Respond to signals,Sense disease in a living system",
529,529,,,,Ecology Letters,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1461-0248.2010.01501.x,,,"Protect from animals,Sense chemicals","Protect from animals,""Sense chemicals (odor, taste, etc.) from the environment""",
530,530,,,,"Marine Ecology,Journal of Industrial Microbiology and Biotechnology,Fungal Diversity","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1439-0485.1991.tb00257.x
https://link.springer.com/article/10.1007%2Fs10295-004-0165-2
http://drs.nio.org/drs/handle/2264/1392",,,,Chemically break down polymers,
531,531,,,,Medical and Veterinary Entomology,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1365-2915.2005.00577.x,,,Protect from microbes,Protect from microbes,
532,532,,,,Ecology Letters,https://onlinelibrary.wiley.com/doi/abs/10.1111/ele.12039,,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",https://www.sciencemag.org/news/2012/12/cloud-forest-trees-drink-fog
533,533,,,,"The Journal of Ecology,Agroforestry Systems","https://onlinelibrary.wiley.com/doi/abs/10.1002/we.1804
https://www.jstor.org/stable/2259780?origin=crossref&seq=1
https://link.springer.com/article/10.1023/A:1006245605705
https://link.springer.com/article/10.1023%2FA%3A1006243032538
https://agris.fao.org/agris-search/search.do?recordID=QI9600003",,,"Maintain biodiversity,Manage environmental disturbances","Maintain biodiversity,Manage disturbance in a community",
534,534,,,,"Physics of Fluids,Integrative and Comparative Biology,Journal of Morphology","https://onlinelibrary.wiley.com/doi/abs/10.1002/jmor.1052250105
https://aip.scitation.org/doi/10.1063/1.1688341
https://academic.oup.com/icb/article/51/1/203/636829",,,Move through/on liquids,Move in/on liquids,
535,535,,,,Journal of Morphology,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmor.10011,,,,Modify position,
536,536,,,,Journal of Experimental Zoology,https://onlinelibrary.wiley.com/doi/abs/10.1002/jez.a.116,,,"Optimize shape/materials,Physically assemble structure","Optimize shape/materials,Physically assemble structure",
537,537,,,,Journal of Chemical Technology and Biotechnology,https://onlinelibrary.wiley.com/doi/abs/10.1002/jctb.1014,,,,Cleave heavy metals from organic compunds,http://connection.ebscohost.com/c/articles/12976598/marine-bugs-have-flair-deep-sea-mining
538,538,,,,Angewandte Chemie,https://onlinelibrary.wiley.com/doi/abs/10.1002/anie.201000825,,,"Protect from animals,Send chemical signals","Protect from animals,""Send chemical signals (odor, taste, etc.)""",https://www.sciencedaily.com/releases/2010/06/100610104551.htm
539,539,,,,Angewandte Chemie,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.201000679,,,,Chemically assemble mineral crystals,
540,540,,,,Angewandte Chemie,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.201000620,,,"""Capture, absorb, or filter organisms""","""Capture, absorb, or filter organisms""",https://www.scienceupdate.com/2010/09/pain-killing-snails/
541,541,,,,Angewandte Chemie,https://onlinelibrary.wiley.com/doi/abs/10.1002/ange.200460612,,,Protect from animals,Protect from animals,
542,542,,,,American Journal of Physical Anthropology,https://onlinelibrary.wiley.com/doi/abs/10.1002/ajpa.21096,,,"Break down structure,Manage wear","Adapt genotype,Adapt phenotype,Break down living materials,Manage mechanical wear,Modify material characteristics",https://www.eurekalert.org/pub_releases/2009-12/nios-aat121609.php
543,543,,,,Advanced Materials,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.201903526,,,Break down structure,Break down living materials,https://fullcircle.asu.edu/research/weevil-genius-insect-inspires-stronger-more-flexible-materials/
544,544,,,,"Advanced Materials,Journal of Colloid and Interface Science","https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.200904411
https://www.sciencedirect.com/science/article/abs/pii/S002197971100823X?via%3Dihub",,,"Protect from excess liquids,""Capture, absorb, or filter gases""","Protect from excess liquids,""Capture, absorb, or filter gases""",
545,545,,,,Advanced Materials,https://onlinelibrary.wiley.com/doi/abs/10.1002/adma.200801256,,,"Manage impact,Prevent fracture/rupture","Manage impact,Prevent fracture/rupture",
546,546,,,,"Advanced Engineering Materials,Materials Science and Engineering","https://onlinelibrary.wiley.com/doi/abs/10.1002/adem.201180027
https://www.sciencedirect.com/science/article/abs/pii/S0928493107002615",,,"Manage stress/strain,Manage impact,Protect from animals","Manage compression,Manage impact,Protect from animals",
547,547,,,,Advanced Engineering Materials,https://onlinelibrary.wiley.com/doi/abs/10.1002/adem.201080065,,,"Manage impact,Prevent fracture/rupture","Manage impact,Prevent fracture/rupture",
548,548,,,,"The Biology of Freshwater Wetlands (Biology of Habitats),""Plant, Cell & Environment""",https://onlinelibrary.wiley.com/doi/10.1046/j.1365-3040.2003.00846.x,,,Distribute gases,Distribute gases,
549,549,,,,"Comparative Biomechanics: Life's Physical World,Journal of Morphology",https://onlinelibrary.wiley.com/doi/10.1002/jmor.1051180206,,,"Change size/shape,""Capture, absorb, or filter organisms""","Modify size/shape/mass/volume,""Capture, absorb, or filter organisms""",
550,550,,,,"New Phytologist,Biological Letters,PLOS One,Plant Signaling & Behavior","https://nph.onlinelibrary.wiley.com/doi/full/10.1111/j.1469-8137.2009.03166.x
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0021114
https://royalsocietypublishing.org/doi/10.1098/rsbl.2009.0311
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3493410/
",,,"Compete within/between species,""Capture, absorb, or filter chemical entities""","Cooperate/compete between different species,""Capture, absorb, or filter chemical entities""",http://news.bbc.co.uk/earth/hi/earth_news/newsid_8552000/8552157.stm
551,551,,,,New Phytologist,https://nph.onlinelibrary.wiley.com/doi/full/10.1046/j.0028-646X.2001.00299.x,,,Protect from fire,Protect from fire,
552,552,,,,Microbiology and Molecular Biology Reviews,https://mmbr.asm.org/content/63/4/735.abstract,,,Chemically break down organic compounds,Chemically break down organic compounds,
553,553,,,,mBio,https://mbio.asm.org/content/4/2/e00167-13,,,Send light signals in the visible spectrum,"Coevolve,Regulate cellular processes,Send light signals in the visible spectrum,""Modify concentration (of ions, solutes, etc)""",
554,554,,,,Trends in Ecology & Evolution,https://linkinghub.elsevier.com/retrieve/pii/S0169534719302563,,,"Control of populations/pests/diseases,Compete within/between species,Manage environmental disturbances,Protect from microbes","""Biological control of populations, pests, diseases"",Cooperate/compete between different species,Manage disturbance in a community,Protect from microbes",https://www.sciencedaily.com/releases/2019/09/190926141743.htm
555,555,,,,"Coelenterate Ecology and Behavior,Journal of Experimental Biology (JEB)","https://link.springer.com/chapter/10.1007%2F978-1-4757-9724-4_3
https://jeb.biologists.org/content/69/1/127.abstract",,,"Manage impact,Manage shear","Manage impact,Manage shear",
556,556,,,,"The Chemistry of Pheromones and other Semiochemicals II,Journal of Chemical Ecology","https://link.springer.com/chapter/10.1007/b98314
https://link.springer.com/article/10.1023/A:1020537319805",,,"""Capture, absorb, or filter chemical entities"",Sense chemicals","""Capture, absorb, or filter chemical entities"",""Modify solubility (dissolving, emulsifying, precipitating, crystallizing)"",""Sense chemicals (odor, taste, etc.) from the environment""",
557,557,,,,"Work of Nature: How the Diversity of Life Sustains Us,Biodiversity and Ecosystem Function",https://link.springer.com/chapter/10.1007/978-3-642-58001-7_21,,,"Protect from animals,Control of populations/pests/diseases","Protect from animals,""Biological control of populations, pests, diseases""",
558,558,,,,Wetlands,https://link.springer.com/article/10.1672/0277-5212(2006)26[322:HTSSMV]2.0.CO;2,,,Maintain biodiversity,"Cooperate within an ecosystem,Maintain biodiversity,Regulate climate",
559,559,,,,BMC Plant Biology,https://link.springer.com/article/10.1186/1471-2229-10-210,,,"""Capture, absorb, or filter chemical entities""","""Capture, absorb, or filter chemical entities""",
560,560,,,,"Environmental Science and Pollution Research,Chemosphere,Frontiers in Microbiology","https://link.springer.com/article/10.1065/espr2004.08.213
https://www.sciencedirect.com/science/article/pii/S0045653512011861
https://www.frontiersin.org/articles/10.3389/fmicb.2016.01836/full",,,"Compete within/between species,Chemically break down organic compounds","Cooperate/compete between different species,Chemically break down organic compounds",https://www.sciencedaily.com/releases/2013/09/130918181104.htm
