DOI,Paper title,Abstract,Journal,Primary lit site,Functions Level I,Functions Level II,Functions Level III- NEW,Functions Level III-OLD,Link to press release
,,,PNAS,https://www.pnas.org/content/112/16/4976,,,Attach permanently,Attach permanently,
,,,PNAS,https://www.pnas.org/content/112/16/4976,,,,Manage tension,
,,,PNAS,https://www.pnas.org/content/109/52/21289,,,"Manage shear,Move through/on solids","Manage shear,Move in/on solids",https://issuu.com/eggermont/docs/zq_issue_12/18
,,,PNAS,https://www.pnas.org/content/109/46/18674,,,Modify/convert light energy,Transform radiant energy (light),"http://pubsapp.acs.org/cen/science/84/8414biolum.html?
https://www.chemistryworld.com/research/fireflies-inspire-low-cost-led-lighting/5573.article"
,,,PNAS,https://www.pnas.org/content/109/46/18674,,,Distribute energy,"Distribute energy,Navigate through air",https://www.chemistryworld.com/research/fireflies-inspire-low-cost-led-lighting/5573.article
,,,PNAS,https://www.pnas.org/content/109/39/15712,,,"Modify color,Send light signals in the visible spectrum","Modify light/color,Send light signals in the visible spectrum",
,,,PNAS,https://www.pnas.org/content/109/12/E690,,,Attach permanently,Attach permanently,http://www.ox.ac.uk/news/science-blog/flesh-eating-bacteria-inspire-superglue
,,,"PNAS,Nature","https://www.pnas.org/content/108/Supplement_2/10831
https://www.cs.unm.edu/~forrest/classes/cs365/readings/feldman-rock-scissors-paper.pdf
",,,"Compete within/between species,Protect from microbes","Cooperate/compete between different species,Protect from microbes","https://www.eurekalert.org/pub_releases/2011-06/uow-bdr062011.php
https://www.eurekalert.org/pub_releases/2011-06/uow-bdr062011.php
"
,,,PNAS,https://www.pnas.org/content/108/46/18726,,,"Coordinate by self-organization,Respond to signals","Coordinate by self-organization,Navigate through liquid,Respond to signals",
,,,PNAS,https://www.pnas.org/content/108/41/17028,,,Protect from chemicals,"Chemically assemble polymers,Protect from chemicals",
,,,PNAS,https://www.pnas.org/content/108/38/15978,,,Protect from microbes,"Protect from microbes,Modify pH",https://www.sciencedaily.com/releases/2011/09/110919151306.htm
,,,PNAS,https://www.pnas.org/content/108/34/E550,,,"Attach temporarily,Move through/on liquids","Attach temporarily,Move in/on liquids",
,,,PNAS,https://www.pnas.org/content/108/27/11291,,,"Sense spatial awareness/balance/orientation,Sense motion","Sense balance/orientation,Sense motion",https://www.bbc.com/news/science-environment-13809148
,,,PNAS,https://www.pnas.org/content/108/23/9356,,,"""Capture, absorb, or filter liquids""","""Capture, absorb, or filter liquids""",
,,,PNAS,https://www.pnas.org/content/108/16/6497,,,"Compete within/between species,""Capture, absorb, or filter energy"",""Capture, absorb, or filter gases"",""Capture, absorb, or filter organisms""","Cooperate/compete between different species,""Capture, absorb, or filter energy"",""Capture, absorb, or filter gases"",""Capture, absorb, or filter organisms""",https://www.nature.com/news/2010/100730/full/news.2010.384.html
,,,PNAS,https://www.pnas.org/content/108/14/5897,,,"Catalyze chemical breakdown,Protect from animals","Catalyze chemical breakdown,Protect from animals",
,,,PNAS,https://www.pnas.org/content/108/14/5516,,,Change size/shape,"Modify position,Modify size/shape/mass/volume",http://news.bbc.co.uk/earth/hi/earth_news/newsid_9429000/9429516.stm
,,,PNAS,https://www.pnas.org/content/108/11/4322,,,Manage stress/strain,"Manage compression,Manage tension,Modify material characteristics",https://www.eurekalert.org/pub_releases/2011-03/uom-str030111.php
,,,PNAS,"https://www.pnas.org/content/108/9/3653
https://www.pnas.org/content/108/24/E198.full
",,,,"Modify material characteristics,Modify phase",
,,,PNAS,https://www.pnas.org/content/108/8/3175,,,,Chemically assemble mineral crystals,https://schaechter.asmblog.org/schaechter/2011/05/hard-biology.html
,,,PNAS,https://www.pnas.org/content/108/6/2184,,,Optimize shape/materials,"Adapt phenotype,Optimize shape/materials,Regulate cellular processes",
,,,PNAS,https://www.pnas.org/content/108/3/995,,,"Protect from excess liquids,Protect from gases","Chemically assemble polymers,Protect from excess liquids,Protect from gases",
,,,PNAS,https://www.pnas.org/content/107/44/18903.full,,,Optimize shape/materials,"Modify position,Optimize shape/materials",
,,,"PNAS,Ecology,New Phytologist,Ant-Plant Interactions: Impacts of Humans on Terrestrial Ecosystems","https://www.pnas.org/content/107/40/17234
https://esajournals.onlinelibrary.wiley.com/doi/10.1890/07-0133.1
https://esajournals.onlinelibrary.wiley.com/doi/10.1890/10-1239.1
https://www.jstor.org/stable/23436271?seq=1
https://nph.onlinelibrary.wiley.com/doi/10.1111/nph.12690
https://esajournals.onlinelibrary.wiley.com/doi/abs/10.1002/ecy.2008
",,,Compete within/between species,Cooperate/compete between different species,https://www.eurekalert.org/pub_releases/2010-09/uof-tjo092110.php
,,,PNAS,https://www.pnas.org/content/107/34/15129,,,"Expel liquids,Expel solids,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids""","Expel liquids,Expel solids,""Capture, absorb, or filter organisms"",""Capture, absorb, or filter solids""",
,,,PNAS,https://www.pnas.org/content/107/17/7835,,,Protect from temperature,"Modify material characteristics,Protect from temperature",
,,,"PNAS,Bioinspiration & Biomimetics","https://www.pnas.org/content/107/15/7048
https://iopscience.iop.org/article/10.1088/1748-3182/5/2/026001",,,Sense sound/vibrations,"Navigate through air,Sense sound and other vibrations from the environment",https://blogs.scientificamerican.com/observations/bats-re-tune-echolocation-and-use-the-suns-glow-to-navigate-near-and-far/
,,,PNAS,https://www.pnas.org/content/107/15/6941,,,Sense spatial awareness/balance/orientation,"Navigate through air,Sense balance/orientation",https://blogs.scientificamerican.com/observations/bats-re-tune-echolocation-and-use-the-suns-glow-to-navigate-near-and-far/
,,,"Weird Nature: An Astonishing Exploration of Nature's Strangest Behavior,PNAS,Journal of Experimental Zoology,Proceedings of the Royal Society B","https://www.pnas.org/content/107/12/5495
https://onlinelibrary.wiley.com/doi/abs/10.1002/jez.708
https://royalsocietypublishing.org/doi/10.1098/rspb.2003.2637",,,"Manage wear,Move through gases","Manage mechanical wear,Modify speed,Move in/through gases",
,,,PNAS,https://www.pnas.org/content/107/11/4820,,,"Move through gases,Protect from wind","Modify position,Move in/through gases,Navigate through air,Protect from wind",https://www.sciencedaily.com/releases/2010/03/100301151933.htm
,,,PNAS,https://www.pnas.org/content/107/5/2082,,,"""Capture, absorb, or filter organisms""","""Capture, absorb, or filter organisms""",https://www.nature.com/news/2010/100111/full/news.2010.5.html?s=news_rss#B2
,,,PNAS,https://www.pnas.org/content/106/48/20210,,,"Protect from ice,Protect from temperature","Protect from ice,Protect from temperature",https://www.nytimes.com/2010/01/19/science/19creatures.html
,,,PNAS,https://www.pnas.org/content/106/46/19334,,,Protect from temperature,"Protect from temperature,Regulate cellular processes",
,,,PNAS,https://www.pnas.org/content/106/46/19334,,,"Protect from chemicals,Protect from loss of liquids","Protect from chemicals,Protect from loss of liquids,Regulate cellular processes",https://www.seeker.com/worlds-hardiest-life-form-explained-1764735355.html
,,,"PNAS,Current Biology","https://www.pnas.org/content/106/38/16185
https://www.cell.com/current-biology/fulltext/S0960-9822(10)00867-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS0960982210008675%3Fshowall%3Dtrue",,,Sense temperature cues,"Maintain homeostasis,Sense temperature cues from the environment",
,,,PNAS,https://www.pnas.org/content/106/36/15394,,,"Compete within/between species,""Capture, absorb, or filter chemical entities""","Cooperate/compete between different species,""Capture, absorb, or filter chemical entities""",https://www.livescience.com/5593-secret-cicada-abundance-bacteria.html
,,,PNAS,https://www.pnas.org/content/106/18/7289,,,Manage stress/strain,"Manage compression,Manage tension",
,,,"PNAS,Nature Reviews Microbiology","https://www.pnas.org/content/105/13/5139
https://www.nature.com/articles/nrmicro2073",,,Protect from radiation,"Modify free radical reactivity,Protect from nuclear radiation",
,,,PNAS,https://www.pnas.org/content/105/13/5139,,,"Protect from animals,Regulate reproduction or growth","Protect from animals,Regulate reproduction or growth",
,,,"PNAS,Journal of Chemical Ecology","https://www.pnas.org/content/104/43/16964
https://link.springer.com/article/10.1007%2Fs10886-009-9707-4",,,"Protect from plants,Regulate reproduction or growth,Control of populations/pests/diseases","Protect from plants,Regulate reproduction or growth,""Biological control of populations, pests, diseases""",
,,,"PNAS,Behavioral Ecology and Sociobiology,""The Bees of the World, Second Edition"",The Beekeeper's Handbook","https://www.pnas.org/content/104/36/14383
https://link.springer.com/article/10.1007/s00265-010-0911-6
https://www.semanticscholar.org/paper/Mechanosensory-hairs-in-bumblebees-(Bombus-detect-Sutton-Clarke/81ad936059029d5f08d80ef7177bbdca4b5ddfb8",,,"Cooperate within/between species,Sense sound/vibrations,Sense chemicals","Cooperate within the same species,Sense sound and other vibrations from the environment,""Sense chemicals (odor, taste, etc.) from the environment""",
,,,PNAS,https://www.pnas.org/content/104/18/7600,,,Chemically break down organic compounds,Chemically break down organic compounds,
,,,PNAS,https://www.pnas.org/content/104/18/7600,,,,"Chemically generate flow of electrons (redox),Modify chemical potential",
,,,PNAS,https://www.pnas.org/content/103/46/17543,,,Modify/convert mechanical energy,Transform mechanical energy,
,,,PNAS,https://www.pnas.org/content/103/15/5764.full?m,,,Attach permanently,Attach permanently,http://pubsapp.acs.org/cen/news/84/i16/8416biomaterials.html?
,,,"PNAS,Journal of Experimental Biology (JEB),Physiological and Biochemical Zoology,Annual Review of Fluid Mechanics","https://www.pnas.org/content/102/50/18213.full?origin=publication_detail
https://pubmed.ncbi.nlm.nih.gov/14581590/
https://www.jstor.org/stable/10.1086/678955?seq=1
https://www.annualreviews.org/doi/abs/10.1146/annurev.fluid.36.050802.121940",,,Move through gases,Move in/through gases,
,,,"PNAS,Nature","https://www.pnas.org/content/102/7/2555.full
https://www.nature.com/articles/nature10325",,,"Regulate reproduction or growth,Modify/convert chemical energy","Regulate reproduction or growth,Transform chemical energy",
,,,PNAS,https://www.pnas.org/content/102/2/385,,,"Attach temporarily,Move through/on solids,Protect from solids,Protect from excess liquids","Attach temporarily,Move in/on solids,Protect from dirt/solids,Protect from excess liquids",
,,,PNAS,https://www.pnas.org/content/98/24/13745,,,"Protect from animals,Send light signals in the non-visible spectrum","Protect from animals,Send light signals in the non-visible spectrum",
,,,"For the Love of Insects,PNAS,Integrative and Comparative Biology","https://www.pnas.org/content/97/12/6568
https://academic.oup.com/icb/article/42/6/1127/698299
https://www.pnas.org/content/107/8/3377",,,Attach temporarily,Attach temporarily,
,,,"Design and Nature II: Comparing Design in Nature with Science and Engineering,PNAS,Journal of Experimental Biology (JEB)","https://www.pnas.org/content/96/17/9705
http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.605.7037&rep=rep1&type=pdf",,,"Expel liquids,Modify/convert thermal energy","Expel liquids,Transform thermal energy",
,,,Optical Materials Express,https://www.osapublishing.org/ome/abstract.cfm?uri=ome-1-1-85,,,Modify color,Modify light/color,https://www.eurekalert.org/pub_releases/2011-04/osoa-bbr042511.php
,,,Optics Express,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-21-1-764,,,Distribute energy,Distribute energy,
,,,"Journal of the Optical Society of America,Journal of the Royal Society Interface","https://www.osapublishing.org/josa/abstract.cfm?uri=josa-50-10-1005
https://royalsocietypublishing.org/doi/10.1098/rsif.2008.0395.focus",,,Send light signals in the visible spectrum,Send light signals in the visible spectrum,
,,,"The Private Life of Plants,Canadian Journal of Botany",https://www.nrcresearchpress.com/doi/pdf/10.1139/b51-022,,,Distribute solids,"Disperse seeds,Distribute solids",
,,,"Comparative Biomechanics: Life's Physical World,Life at Small Scale: The Behavior of Microbes,Canadian Journal of Zoology",https://www.nrcresearchpress.com/doi/abs/10.1139/z99-178,,,"Move through/on solids,Move through gases,Store energy,Modify/convert mechanical energy","Modify surface tension,Move in/on solids,Move in/through gases,Store energy,Transform mechanical energy",
,,,"Canadian Journal of Zoology,North American Fauna","https://www.nrcresearchpress.com/doi/10.1139/z75-073
https://meridian.allenpress.com/naf/article/doi/10.3996/nafa.74.0001/187032/Ecology-and-Biology-of-the-Pacific-Walrus-Odobenus",,,Optimize shape/materials,Optimize shape/materials,
,,,"Comparative Biomechanics: Life's Physical World,Canadian Journal of Zoology",https://www.nrcresearchpress.com/doi/10.1139/z01-192,,,Attach temporarily,Attach temporarily,
,,,"Canadian Journal of Botany,Life Strategies of Succulents in Deserts",https://www.nrcresearchpress.com/doi/10.1139/b80-193,,,"Distribute energy,""Capture, absorb, or filter energy""","Distribute energy,""Capture, absorb, or filter energy""",
,,,Physical Review E,https://www.ncbi.nlm.nih.gov/pubmed/19113150,,,Modify color,Modify light/color,
,,,Veterinary Ophthalmology,https://www.ncbi.nlm.nih.gov/pubmed/14738502,,,"Modify color,Sense light in the visible spectrum","Modify light/color,Sense light (visible spectrum) from the environment",
